url,name,instructor,enroll,description,skills,relative,rate,time,level,image
https://www.coursera.org/professional-certificates/ibm-technical-support,IBM IT Support  Professional Certificate,IBM Skills Network Team,"3,346","Master the most up-to-date practical skills and tools used by IT support professionals and how to apply them in an everyday professional settingLearn hardware and software skills that help users select, install, and configure their devices, operations systems, and applicationsDevelop a strong IT foundation in topics including cybersecurity, networking, cloud, databases, and be prepared for CompTIA certification examsPractice customer service and troubleshooting skills by using ticketing systems, hands-on labs, demos, and interactive exercises","Customer Service,Technical Support,Cloud,Troubleshooting,IT Fundamentals,Software Application Development,Computer Programming,Software Development Process,Database basics,Wireless Networks,Network Troubleshooting,Network Architecture,Cloud Storage,Networking Hardware,Cybersecurity,Cryptography,Cyberattacks,Information Security (INFOSEC),Application Security,Cloud Computing,Hybrid Multicloud,Devops,Iaas PaaS Saas,Cloud Native,Operating Systems,hardware,Information Technology (IT) Support,Ticketing Systems,Service Level Agreements (SLA),Certification Test,CompTIA ITF+,Exam Practice,View all skills",New to Support and Operations? Start here.,4.8,3 months at 10 hours a week,Beginner level,
https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,IBM Applied AI Professional Certificate,Abhishek Gagneja,"7,727","Understand the definition of AI, its applications and use cases, and explain terms like machine learning, deep learning, and neural networks Create AI chatbots and virtual assistants without any programming and deploy them on a website Build AI-powered solutions using IBM Watson AI services, APIs, and Python with minimal coding Apply computer vision techniques using Python, OpenCV, &amp; Watson and develop custom image classification models and deploy them to the Cloud","Artificial Intelligence (AI),Data Science,Machine Learning,Deep Learning,Jobs,Python Programming,Artifical Intelligence,Watson AI,Chatbot,ChatGPT,Large Language Models (LLM),Natural Language Generation,Generative AI,Application development,Web Application,Flask,Data Analysis,Numpy,Pandas,Prompt Engineering,prompt patterns,View all skills","Why people choose Coursera for their careerFelipe M.Learner since 2018""To be able to take courses at my own pace and rhythm has been an amazing experience. I can learn whenever it fits my schedule and mood.""Jennifer J.Learner since 2020""I directly applied the concepts and skills I learned from my courses to an exciting new project at work.""Larry W.Learner since 2021""When I need courses on topics that my university doesn't offer, Coursera is one of the best places to go.""Chaitanya A.""Learning isn't just about being better at your job: it's so much more than that. Coursera allows me to learn without limits.""",4.6,3 months at 10 hours a week,Beginner level,
https://www.coursera.org/professional-certificates/ibm-applied-devops-engineering,IBM Applied DevOps Engineering Professional Certificate,John Rofrano,,"Write quality agile user stories, estimate and assign story points to them, and track stories using a kanban board on ZenHubDevelop RESTful Python microservices, test with TDD methods, practice CI/CD, and deploy using serverless and container technologies like KubernetesDevelop and execute unit tests with test driven development (TDD) methods including coverage reports, factories, fakes, and mock objectsGain technical experience through hands on labs and projects and build a portfolio to demonstrate your job readiness","Representational State Transfer (REST),Cloud Applications,Openshift,Microservices,serverless,Software Testing,Test-Driven Development,Behavior-Driven Development,Test Case,Automated Testing,CI/CD,agile,Devops,TDD/BDD,Cloud Native,Continuous Integration,Continuous Development,Infrastructure As Code,Automation,Observability,Telemetry,Monitoring,logging,Tracing,Docker,Kubernetes,Containers,Kanban,Zenhub,Scrum Methodology,Agile Software Development,Sprint Planning,Open Web Application Security Project (OWASP),security,Cloud Computing,View all skills",New to Software Development? Start here.,4.8,3 months at 10 hours a week,Intermediate level,
https://www.coursera.org/professional-certificates/ibm-applied-devops-engineering,IBM Applied DevOps Engineering Professional Certificate,John Rofrano,,"Write quality agile user stories, estimate and assign story points to them, and track stories using a kanban board on ZenHubDevelop RESTful Python microservices, test with TDD methods, practice CI/CD, and deploy using serverless and container technologies like KubernetesDevelop and execute unit tests with test driven development (TDD) methods including coverage reports, factories, fakes, and mock objectsGain technical experience through hands on labs and projects and build a portfolio to demonstrate your job readiness","Representational State Transfer (REST),Cloud Applications,Openshift,Microservices,serverless,Software Testing,Test-Driven Development,Behavior-Driven Development,Test Case,Automated Testing,CI/CD,agile,Devops,TDD/BDD,Cloud Native,Continuous Integration,Continuous Development,Infrastructure As Code,Automation,Observability,Telemetry,Monitoring,logging,Tracing,Docker,Kubernetes,Containers,Kanban,Zenhub,Scrum Methodology,Agile Software Development,Sprint Planning,Open Web Application Security Project (OWASP),security,Cloud Computing,View all skills",New to Software Development? Start here.,4.8,3 months at 10 hours a week,Intermediate level,
https://www.coursera.org/professional-certificates/backend-javascript-developer,IBM Back-end JavaScript Developer Professional Certificate,IBM Skills Network Team,,,"back-end development,Node.Js,JavaScript,Devops,express",New to Software Development? Start here.,4.8,5 months at 10 hours a week,Beginner level,
https://www.coursera.org/professional-certificates/ibm-project-manager,IBM Project Manager  Professional Certificate,John Rofrano,"9,451","Master the most up-to-date concepts, tools, principles, and language project managers use in their daily roles.Track and manage projects, including addressing difficult client situations and how activities shift throughout the project management lifecycle.Incorporate Agile concepts of adaptive planning, iterative development, and continuous improvement leading to early deliveries and customer value.Apply your skills to projects and build a portfolio that showcases your proficiency to employers while preparing for the CAPM certification exam.","Project Management,Risk Management,Communication,Leadership,Project initiation",New to Business Essentials? Start here.,4.8,3 months at 10 hours a week,Beginner level,
https://www.coursera.org/specializations/meta-react-native,Meta React Native Specialization,Taught by Meta Staff,"12,562","Gain the skills required to create apps across different platforms and devices.Learn programming fundamentals, how to create a user interface (UI) and best practices for designing the UI.  Become an expert in React Native, React, JavaScript, GitHub repositories and version control.Walk away with a project-based portfolio that demonstrates your skills to employers.","HTML and CSS,React (Web Framework),Web Development,JavaScript,Mobile Development,Test-Driven Development,Front-End Web Development,Object-Oriented Programming (OOP),React (Javascript Library),Application development,Data Management,REST APIs,React,Github,UX and UI,SQL,Figma,Version Control,Bash (Unix Shell),Linux,Web Application,Web Design,Accessibility,User Experience (UX),View all skills",New to Mobile and Web Development? Start here.,4.8,8 months at 6 hours a week,Beginner level,
https://www.coursera.org/specializations/it-fundamentals-cybersecurity,IT Fundamentals for Cybersecurity Specialization,IBM Skills Network Team,"55,198",,"networking basics,Cybersecurity,database vulnerabilities,Operating System Security,Cyber Attacks",New to Security? Start here.,4.6,2 months at 10 hours a week,Beginner level,
https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,Finance &amp; Quantitative Modeling for Analysts Specialization,Michael R Roberts,"35,418",Harness the power of spreadsheets to map and predict dataCreate your own quantitative modelsRead income and cash flow statements,"Financial Modeling,Corporate Finance,Microsoft Excel",New to Finance? Start here.,4.5,1 months at 10 hours a week,Beginner level,
https://www.coursera.org/learn/technical-support-fundamentals,Technical Support Fundamentals,Google Career Certificates,"1,672,073",,"Binary Code,Customer Support,Linux,Troubleshooting","Why people choose Coursera for their careerFelipe M.Learner since 2018""To be able to take courses at my own pace and rhythm has been an amazing experience. I can learn whenever it fits my schedule and mood.""Jennifer J.Learner since 2020""I directly applied the concepts and skills I learned from my courses to an exciting new project at work.""Larry W.Learner since 2021""When I need courses on topics that my university doesn't offer, Coursera is one of the best places to go.""Chaitanya A.""Learning isn't just about being better at your job: it's so much more than that. Coursera allows me to learn without limits.""",4.8,27 hours (approximately),Beginner level,
https://www.coursera.org/specializations/finance-accounting,Introduction to Finance and Accounting Specialization,Michael R Roberts,"59,643","Discounting and compounding arbitrary cash flow streams in order to value different claims and make better financial decisions.Difference between NPV and Internal Rate of Return (IRR)Classification of cash flows into operating, investing, and financing activitiesHow companies account for investments in debt and equity securities","Financial Accounting,Accounting,Decision-Making,Corporate Finance,Financial Statement",New to Finance? Start here.,4.4,1 months at 10 hours a week,Beginner level,
https://www.coursera.org/professional-certificates/intuit-bookkeeping,Intuit Academy Bookkeeping Professional Certificate,Intuit Academy Team,"122,348",Build a foundation of basic bookkeeping concepts and accounting measurement.Learn how to work through the various phases of the accounting cycle to produce key financial statements.Practice interpreting and analyzing financial statements to make key business decisions.,"Double-Entry Bookkeeping System,Bookkeeping,Bank Reconciliations,Accounting Concepts and Measurement",New to Business Essentials? Start here.,4.6,2 months at 10 hours a week,Beginner level,
https://www.coursera.org/professional-certificates/meta-ios-developer,Meta iOS Developer Professional Certificate,Taught by Meta Staff,"24,837","Gain the skills required for an entry-level career as an iOS developer.Learn how to create applications for iOS systems and how to manage the lifecycle of a mobile app. Learn programming fundamentals, how to create a user interface (UI) and best practices for designing the UI.  Create a portfolio with projects that show your ability to publish, deploy and maintain iOS apps as well as cross-platform apps using React Native.","Version Control,Github,Bash (Unix Shell),Web Development,Linux,Web Design,Accessibility,Front-End Web Development,User Experience (UX),React (Javascript Library),Application development,React,Mobile Development,iOS App Development,Swift Programming,•	Create simple JavaScript code,•	Create and manipulate objects and arrays,•	Write unit testing using Jest,Json,APIs,Core Data,use navigation in your apps,Data Structure,Computer Science,Algorithms,Communication,Pseudocode,Software Architecture,UI development,Data Management,React (Web Framework),Web Application,View all skills",New to Mobile and Web Development? Start here.,4.7,8 months at 7 hours a week,Beginner level,
https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce,Foundations of Digital Marketing and E-commerce,Google Career Certificates,"725,752",Define the fields of digital marketing and e-commerceDescribe the job responsibilities of an entry-level digital marketer and e-commerce specialistExplain the concept of a marketing funnelUnderstand the elements and goals of a digital marketing and e-commerce strategy,"E-Commerce,Customer loyalty,Customer Outreach,Marketing,Marketing Analytics","Why people choose Coursera for their careerFelipe M.Learner since 2018""To be able to take courses at my own pace and rhythm has been an amazing experience. I can learn whenever it fits my schedule and mood.""Jennifer J.Learner since 2020""I directly applied the concepts and skills I learned from my courses to an exciting new project at work.""Larry W.Learner since 2021""When I need courses on topics that my university doesn't offer, Coursera is one of the best places to go.""Chaitanya A.""Learning isn't just about being better at your job: it's so much more than that. Coursera allows me to learn without limits.""",4.8,24 hours (approximately),Beginner level,
https://www.coursera.org/learn/machine-learning,Supervised Machine Learning: Regression and Classification,Andrew Ng,"531,269","Build machine learning models in Python using popular machine learning libraries NumPy &amp; scikit-learnBuild &amp; train supervised machine learning models for prediction &amp; binary classification tasks, including linear regression &amp; logistic regression","Linear Regression,Regularization to Avoid Overfitting,Logistic Regression for Classification,Gradient Descent,Supervised Learning","Why people choose Coursera for their careerFelipe M.Learner since 2018""To be able to take courses at my own pace and rhythm has been an amazing experience. I can learn whenever it fits my schedule and mood.""Jennifer J.Learner since 2020""I directly applied the concepts and skills I learned from my courses to an exciting new project at work.""Larry W.Learner since 2021""When I need courses on topics that my university doesn't offer, Coursera is one of the best places to go.""Chaitanya A.""Learning isn't just about being better at your job: it's so much more than that. Coursera allows me to learn without limits.""",4.9,33 hours (approximately),Beginner level,
https://www.coursera.org/professional-certificates/ai-engineer,IBM AI Engineering Professional Certificate,Romeo Kienzler,"43,418","Describe machine learning, deep learning, neural networks, and ML algorithms like classification, regression, clustering, and dimensional reduction Implement supervised and unsupervised machine learning models using SciPy and ScikitLearn Deploy machine learning algorithms and pipelines on Apache Spark Build deep learning models and neural networks using Keras, PyTorch, and TensorFlow","Image Processing,Artificial Intelligence (AI),Opencv,Computer Vision,Deep Learning,Machine Learning,regression,Hierarchical Clustering,classification,SciPy and scikit-learn,Artificial Neural Network,keras,View all skills","Why people choose Coursera for their careerFelipe M.Learner since 2018""To be able to take courses at my own pace and rhythm has been an amazing experience. I can learn whenever it fits my schedule and mood.""Jennifer J.Learner since 2020""I directly applied the concepts and skills I learned from my courses to an exciting new project at work.""Larry W.Learner since 2021""When I need courses on topics that my university doesn't offer, Coursera is one of the best places to go.""Chaitanya A.""Learning isn't just about being better at your job: it's so much more than that. Coursera allows me to learn without limits.""",4.5,2 months at 10 hours a week,Intermediate level,
https://www.coursera.org/specializations/ai-healthcare,AI in Healthcare Specialization,Matthew Lungren,"28,012","Identify problems healthcare providers face that machine learning can solveAnalyze how AI affects patient care safety, quality, and researchRelate AI to the science, practice, and business of medicineApply the building blocks of AI to help you innovate and understand emerging technologies",,New to Machine Learning? Start here.,4.7,1 months at 10 hours a week,Beginner level,
https://www.coursera.org/specializations/generative-ai-for-data-scientists,Generative AI for Data Scientists Specialization,Dr. Pooja,,"Apply skills to recognize real-world generative AI uses and identify popular generative AI models and tools for text, code, image, audio, and videoUnderstand generative AI prompt engineering concepts, examples, and common tools and learn techniques to create effective, impactful promptsLearn how to identify appropriate generative AI tools for data science use casesApply generative AI prompt techniques to generate and augment datasets and to develop and refine machine learning models","Artificial Intelligence (AI),Data Science,Machine Learning,Prompt Engineering,Generative AI",New to Machine Learning? Start here.,4.7,1 months at 10 hours a week,Intermediate level,
https://www.coursera.org/specializations/python,Python for Everybody Specialization,Charles Russell Severance,"1,590,515",,"Json,Xml,Python Programming,Database (DBMS)","Why people choose Coursera for their careerFelipe M.Learner since 2018""To be able to take courses at my own pace and rhythm has been an amazing experience. I can learn whenever it fits my schedule and mood.""Jennifer J.Learner since 2020""I directly applied the concepts and skills I learned from my courses to an exciting new project at work.""Larry W.Learner since 2021""When I need courses on topics that my university doesn't offer, Coursera is one of the best places to go.""Chaitanya A.""Learning isn't just about being better at your job: it's so much more than that. Coursera allows me to learn without limits.""",4.8,2 months at 10 hours a week,Beginner level,
https://www.coursera.org/learn/foundations-data,"Foundations: Data, Data, Everywhere",Google Career Certificates,"2,314,226","Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystems.Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking.Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics.Describe the role of a data analyst with specific reference to jobs.","Spreadsheet,Data Analysis,SQL,Data Visualization,Data Cleansing","Why people choose Coursera for their careerFelipe M.Learner since 2018""To be able to take courses at my own pace and rhythm has been an amazing experience. I can learn whenever it fits my schedule and mood.""Jennifer J.Learner since 2020""I directly applied the concepts and skills I learned from my courses to an exciting new project at work.""Larry W.Learner since 2021""When I need courses on topics that my university doesn't offer, Coursera is one of the best places to go.""Chaitanya A.""Learning isn't just about being better at your job: it's so much more than that. Coursera allows me to learn without limits.""",4.8,24 hours (approximately),Beginner level,
https://www.coursera.org/specializations/generative-ai-for-software-developers,Generative AI for Software Developers Specialization,Rav Ahuja,,"Identify real-world generative AI uses and describe popular generative AI models and tools for text, code, image, audio, and videoExplain generative AI prompt engineering concepts, examples, and common tools and learn techniques needed to create effective, impactful prompts Learn about tools and techniques to generate code snippets, scripts, test cases, and applications using generative AI models Develop innovative software engineering solutions using AI-powered tools and LLMs","Software Engineering,Artificial Intelligence (AI),Prompt Engineering,prompt patterns,Generative AI",New to Software Development? Start here.,5.0,1 months at 10 hours a week,Intermediate level,
https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science,Mathematics for Machine Learning and Data Science Specialization,Magdalena Bouza,"55,884","A deep understanding of the math that makes machine learning algorithms work.Statistical techniques that empower you to get more out of your data analysis.Fundamental skills that employers desire, helping you ace machine learning interview questions and land your dream job.","Bayesian Statistics,Mathematics,Linear Regression,Machine Learning,Probability",New to Algorithms? Start here.,4.6,3 months at 5 hours a week,Beginner level,
https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,IBM Cybersecurity Analyst Professional Certificate,IBM Skills Network Team,"179,878",Develop knowledge of cybersecurity analyst tools including data protection; endpoint protection; SIEM; and systems and network fundamentals.   Learn about key compliance and threat intelligence topics important in today’s cybersecurity landscape. Gain skills for incident responses and forensics with real-world cybersecurity case studies.Get hands-on experience to develop skills via industry specific and open source Security tools.,"information security analyst,Junior cybersecurity analyst,IT security analyst,security analyst","Why people choose Coursera for their careergo to previous testimonial“Even though I’ve always had an interest in cybersecurity, this course was the first opportunity I had to explore the field, and it gave me a great foundation for further exploration.Manmeet G.Learning from IndiaIBM Cybersecurity Analyst“Even though I’ve always had an interest in cybersecurity, this course was the first opportunity I had to explore the field, and it gave me a great foundation for further exploration.Manmeet G.Learning from IndiaIBM Cybersecurity Analystgo to next testimonial",4.6,4 months at 10 hours a week,Beginner level,
https://www.coursera.org/professional-certificates/facebook-social-media-marketing,Meta Social Media Marketing Professional Certificate,Anke Audenaert,"281,789","Establish an online presence, build a following, and manage your social media accountsDevelop effective social media posts and create a strong social media brand presenceCreate Facebook and Instagram ad campaigns in Meta Ads Manager that drive business resultsLearn to evaluate and interpret the results of your social posts and advertising campaigns","Social Media Marketing,Brand Management,Content Marketing,Digital Marketing,Performance Advertising","Why people choose Coursera for their careergo to previous testimonial“Not only did this certification help expand the skills I already had, but also taught me new ones, such as creating effective social ads and brand strategies, developing a content calendar for any industry, scheduling posts, and more. Now, I’m working with small businesses and a nonprofit organization by providing team trainings and workshops on how to build their brand and launch successful marketing campaigns.
Margarette L.Learning from CanadaMeta Social Media Marketing“Not only did this certification help expand the skills I already had, but also taught me new ones, such as creating effective social ads and brand strategies, developing a content calendar for any industry, scheduling posts, and more. Now, I’m working with small businesses and a nonprofit organization by providing team trainings and workshops on how to build their brand and launch successful marketing campaigns.
Margarette L.Learning from CanadaMeta Social Media Marketinggo to next testimonial",4.9,Flexible schedule,Beginner level,
https://www.coursera.org/professional-certificates/ibm-it-scrum-master,IBM IT Scrum Master Professional Certificate,John Rofrano,"3,200","Master the most up-to-date practical skills and knowledge IT Scrum Masters use in their daily rolesLearn Agile concepts of adaptive planning, iterative development, and continuous improvement, resulting in early customer deliveries and valueGain knowledge regarding software engineering, Software Development Lifecycle (SDLC), software development tools, &amp; DevOps essential characteristicsApply your new skills to real-world projects, build a portfolio, and prepare for the CSM certification exam from Scrum Alliance","Scrum Master,Risk Management,Communication,Leadership,agile",New to Leadership and Management? Start here.,4.7,5 months at 10 hours a week,Beginner level,
https://www.coursera.org/professional-certificates/ibm-frontend-developer,IBM Front-End Developer Professional Certificate,IBM Skills Network Team,"3,934","Master the most up-to-date practical skills and tools that front-end developers use in their daily rolesLearn how to develop web pages using programming languages like HTML, CSS,  JavaScript, and ReactApply user interface and user experience (UI/UX) principles and best practices; manage your code with GitHub repositories and branchesGain technical experience through hands-on labs and projects and build a portfolio to showcase your work to potential employers","Continuous Integration,Continuous Delivery,Mongodb,agile,Devops,Software Development,React (Web Framework),Front-end Development,Front-end design,Web Development,JavaScript,Web,Cascading Style Sheets (CSS),User Interface,Wordpress,Front-End Web Development,UI/UX Designer,No-code,Website Wireframe,User Interface design (UI Design),Progressive Web Development,Figma,User Experience (UX),Responsive,Bootstrap,Grid system,Web Development Framework,Software Engineering,Software Architecture,Python Programming,Agile and Scrum,Software Development Lifecycle (SDLC),Webpack,Search Engine Optimization (SEO),javascript library,Debugging,Career,Software Engineer,Coding Challenge,interview Preparation,Full Stack Developer,Distributed Version Control Systems (DVCS),Git (Software),Github,open source,Cloning and forking,View all skills",New to Mobile and Web Development? Start here.,4.7,3 months at 10 hours a week,Beginner level,
https://www.coursera.org/specializations/it-cloud-fundamentals,Information Technology (IT) and Cloud Fundamentals Specialization,IBM Skills Network Team,"1,616","Operating systems history, installation, configuration, and hardware connectors and peripheral identification and troubleshooting techniques.Software management, cloud computing characteristics, benefits and trends, web browser essentials, software development basics, and database basics.Commonly used storage and network types, common security risks, and secure browsing practices.Application of technical and troubleshooting skills for an IT customer support role.","Software Application Development,Computer Programming,Software Development Process,Database basics,IT Fundamentals,Technical Support,Operating Systems,Troubleshooting,hardware,Cybersecurity,Cryptography,Cyberattacks,Information Security (INFOSEC),Application Security,Cloud Computing,Hybrid Multicloud,Devops,Iaas PaaS Saas,Cloud Native,Certification Test,CompTIA ITF+,Cloud,Exam Practice,Wireless Networks,Network Troubleshooting,Network Architecture,Cloud Storage,Networking Hardware,View all skills",New to Cloud Computing? Start here.,4.8,2 months at 10 hours a week,Beginner level,
